Município,Hipertensão,Diabetes Tipo 1,Diabetes Tipo 2,Hiper_c/_Diabete
353520 Palmeira d'Oeste,14,19,120,472
353530 Palmital,2580,29,124,745
353540 Panorama,1113,41,32,476
353550 Paraguaçu Paulista,2924,63,184,1262
353560 Paraibuna,2111,22,64,451
353570 Paraíso,690,5,45,167
353580 Paranapanema,678,22,60,443
353600 Parapuã,1234,15,50,430
353610 Pardinho,308,3,37,152
353620 Pariquera-Açu,2218,43,126,733
353625 Parisi,16,-,1,3
353630 Patrocínio Paulista,451,2,9,115
353650 Paulínia,1538,23,89,712
353657 Paulistânia,223,2,17,64
353660 Paulo de Faria,834,13,20,279
353670 Pederneiras,1582,3,22,495
353690 Pedranópolis,623,5,37,98
353700 Pedregulho,1459,43,62,358
353710 Pedreira,1127,29,74,441
353715 Pedrinhas Paulista,155,4,11,52
353720 Pedro de Toledo,164,-,7,85
353730 Penápolis,4590,127,327,1692
353740 Pereira Barreto,809,29,52,285
353750 Pereiras,735,20,59,236
353760 Peruíbe,1752,18,138,894
353770 Piacatu,1168,14,22,167
353780 Piedade,1531,31,70,810
353790 Pilar do Sul,1804,55,120,1159
353800 Pindamonhangaba,4809,63,502,2410
353810 Pindorama,1529,50,81,569
353850 Piquete,330,11,21,215
353870 Piracicaba,4727,80,284,2069
353880 Piraju,1343,9,22,463
353890 Pirajuí,502,9,10,249
353900 Pirangi,25,-,2,17
353910 Pirapora do Bom Jesus,904,22,50,362
353920 Pirapozinho,2615,76,195,743
353930 Pirassununga,1643,30,141,696
353940 Piratininga,1325,13,115,479
353950 Pitangueiras,2948,69,144,1141
353960 Planalto,396,7,30,115
353980 Poá,984,14,78,656
353990 Poloni,54,-,1,14
354000 Pompéia,1542,27,69,429
354010 Pongaí,690,10,33,139
354020 Pontal,3795,88,103,1354
354025 Pontalinda,211,3,5,42
354030 Pontes Gestal,54,6,-,27
354040 Populina,456,7,20,130
354050 Porangaba,545,7,41,260
354060 Porto Feliz,2604,66,193,1237
354070 Porto Ferreira,2108,96,231,1023
354075 Potim,1145,23,137,500
354080 Potirendaba,2005,46,80,677
354085 Pracinha,115,1,-,76
354090 Pradópolis,1028,6,76,366
354100 Praia Grande,5862,40,173,2729
354110 Presidente Alves,292,2,8,75
354130 Presidente Epitácio,1273,15,50,466
354140 Presidente Prudente,1265,14,36,438
354160 Promissão,1419,63,120,814
354165 Quadra,272,6,15,62
354170 Quatá,965,6,14,324
354180 Queiroz,40,4,1,32
354200 Quintana,871,6,39,240
354210 Rafard,460,21,40,263
354220 Rancharia,252,8,15,91
354240 Regente Feijó,2157,27,154,529
354250 Reginópolis,905,12,62,195
354260 Registro,4717,44,206,1665
354270 Restinga,431,7,4,130
354280 Ribeira,456,3,7,78
354290 Ribeirão Bonito,893,20,51,408
354300 Ribeirão Branco,601,4,14,169
354310 Ribeirão Corrente,83,2,-,28
354320 Ribeirão do Sul,187,4,1,85
354323 Ribeirão dos Índios,57,-,2,21
354325 Ribeirão Grande,650,4,13,176
354330 Ribeirão Pires,3339,90,241,1923
354340 Ribeirão Preto,8227,243,592,4787
354360 Rifaina,440,8,10,122
354370 Rincão,408,8,30,166
354380 Rinópolis,908,16,46,321
354390 Rio Claro,6366,230,549,2784
354400 Rio das Pedras,1034,29,89,541
354410 Rio Grande da Serra,868,52,95,611
354420 Riolândia,425,4,14,81
354350 Riversul,136,3,4,23
354430 Roseira,748,18,44,315
354440 Rubiácea,451,5,27,89
354450 Rubinéia,290,6,20,104
354460 Sabino,425,22,15,256
354470 Sagres,178,-,2,50
354480 Sales,499,25,46,97
354490 Sales Oliveira,1398,6,65,347
354500 Salesópolis,385,7,20,195
354510 Salmourão,187,3,4,111
354515 Saltinho,834,6,85,231
354520 Salto,5487,214,425,3073
354530 Salto de Pirapora,3592,61,153,1355
354540 Salto Grande,1011,10,53,355
354550 Sandovalina,86,1,5,9
354560 Santa Adélia,277,13,44,238
354570 Santa Albertina,180,3,15,89
354580 Santa Bárbara d'Oeste,742,8,55,516
354600 Santa Branca,245,5,8,97
354610 Santa Clara d'Oeste,349,9,14,79
354620 Santa Cruz da Conceição,356,10,29,125
354630 Santa Cruz das Palmeiras,1687,12,78,787
354640 Santa Cruz do Rio Pardo,4025,85,184,1311
354650 Santa Ernestina,386,3,25,135
354660 Santa Fé do Sul,2475,50,123,693
354670 Santa Gertrudes,1571,31,88,671
